copper_limit,holding_cost,electrolysis_cost,total_cost
0.0,3613.2087448420193,1155.3573415619057,11067.915542906654
0.1,3606.873824253176,1153.3557175691733,11059.601128638009
0.2,3600.5355098813798,1151.3540981842723,11051.283169428767
0.30000000000000004,3594.193726582364,1149.352478923235,11042.961588863163
0.4,3587.848663502097,1147.3508644844212,11034.636567442913
0.5,3581.500025667212,1145.3492530718675,11026.307824859558
0.6000000000000001,3575.1479206080726,1143.347644822651,11017.975461564905
0.7000000000000001,3568.792338143327,1141.3460397471565,11009.639466873758
0.8,3562.433268051771,1139.3444378558133,11001.299830058848
0.9,3556.070700072163,1137.342839159097,10992.956540350673
1.0,3549.7046239030046,1135.341243667529,10984.609586937215
1.1,3543.335029202362,1133.3396513916769,10976.258958963792
1.2000000000000002,3536.961905587659,1131.3380623421551,10967.90464553282
1.3,3530.585242635489,1129.3364765296244,10959.546635703615
1.4000000000000001,3524.205029881392,1127.334893964793,10951.184918492156
1.5,3517.821256819677,1125.3333146584164,10942.819482870902
1.6,3511.4339129032114,1123.331738621297,10934.450317768556
1.7000000000000002,3505.042987543197,1121.3301658642856,10926.077412069846
1.8,3498.648470108996,1119.328596398281,10917.700754615316
1.9000000000000001,3367.569814598575,816.6756705093519,10524.098518790786
2.0,3361.904510387877,814.8970709328314,10514.234828002453
2.1,3356.8935872034563,813.118471356311,10505.025518240396
2.2,3351.880646030015,811.3398717797907,10495.814190489318
2.3000000000000003,3331.2894908456065,103.33188358096676,10073.27834109669
2.4000000000000004,3329.2815659794496,102.82990236442771,10011.109578072279
2.5,3327.27850751574,102.32913774850017,9964.334574008317
2.6,3317.961956521739,0.0,9898.959844343051
2.7,3317.961956521739,0.0,9829.89049760938
2.8000000000000003,3317.961956521739,0.0,9760.821150875712
2.9000000000000004,3317.961956521739,0.0,9691.751804142044
3.0,3317.961956521739,0.0,9646.776415571285
